Name,LocalizedName,FileName,Enabled,Description,SortOrder,UsedSystemFont,HelpshiftSDKLanguage,HelpshiftSDKLanguageAndroid,HelpshiftLanguageTag,HelpshiftURL,TermsAndServiceUrl,TournamentTermsUrl,ParentsGuideUrl,PrivacyPolicyUrl,TestLanguage,TestExcludes,RegionListFile,SelfhelpURL
string,string,string,boolean,string,int,string,string,string,string,string,string,string,string,string,boolean,string,string,string
EN,English,localization/texts.csv,TRUE,,1,,en,,EN,https://help.supercellsupport.com/clash-mini/en/index.html,http://supercell.com/en/terms-of-service/,http://supercell.com/en/community-tournament-guidelines/,http://www.supercell.com/en/parents/,http://www.supercell.com/en/privacy-policy/,,,,https://ingame.help.supercellsupport.com/clash-mini/en/index.html
ES,Español,localization/es.csv,TRUE,,2,,es,,ES,https://help.supercellsupport.com/clash-mini/es/index.html,http://supercell.com/en/terms-of-service/es/,https://supercell.com/en/tournament-guidelines/es/,http://www.supercell.com/en/parents/es/,http://www.supercell.com/en/privacy-policy/es/,,,,https://ingame.help.supercellsupport.com/clash-mini/es/index.html
TEXT,,,FALSE,Longest text,100,,zh-Hans,,EN,https://help.supercellsupport.com/clash-mini/en/index.html,http://supercell.com/en/terms-of-service/,http://supercell.com/en/community-tournament-guidelines/,http://www.supercell.com/en/parents/,http://www.supercell.com/en/privacy-policy/,TRUE,,,
WORD,,,FALSE,Longest word,101,,zh-Hans,,EN,https://help.supercellsupport.com/clash-mini/en/index.html,http://supercell.com/en/terms-of-service/,http://supercell.com/en/community-tournament-guidelines/,http://www.supercell.com/en/parents/,http://www.supercell.com/en/privacy-policy/,TRUE,,,
DOUBLE,,,FALSE,Double String,102,,zh-Hans,,EN,https://help.supercellsupport.com/clash-mini/en/index.html,http://supercell.com/en/terms-of-service/,http://supercell.com/en/community-tournament-guidelines/,http://www.supercell.com/en/parents/,http://www.supercell.com/en/privacy-policy/,TRUE,,,
EMPTY,,,FALSE,Empty texts,103,,ko,,EN,https://help.supercellsupport.com/clash-mini/en/index.html,http://supercell.com/en/terms-of-service/,http://supercell.com/en/community-tournament-guidelines/,http://www.supercell.com/en/parents/,http://www.supercell.com/en/privacy-policy/,TRUE,,,
